Address,City,State,Zipcode,Name,Phone Number,Group,URL,Email
191 Allen Street,Buffalo,NY,,Cantina Loco,,,http://localrestaurantweek.com/restaurant_profileecb3.html?id=920921,
1206 Hertel Avenue,Buffalo,NY,,Canvas@1206,,,http://localrestaurantweek.com/restaurant_profilef72a.html?id=923380,
716 Elmwood Avenue,Buffalo,NY,,Cecelia's Ristorante & Martini Bar,,,http://localrestaurantweek.com/restaurant_profileff48.html?id=318977,
291 Seneca Street,Buffalo,NY,,Chef's,,,http://localrestaurantweek.com/restaurant_profile67c7.html?id=318988,
9416 Transit Road,East Amherst,NY,,Chester's Cajun Grill,,,http://localrestaurantweek.com/restaurant_profile8520.html?id=824726,
114 West Chippewa Street,Buffalo,NY,,Chocolate Bar,,,http://localrestaurantweek.com/restaurant_profile363e.html?id=319758,
760 Wehrle Drive,Amherst,NY,,Citta' di Militello,,,http://localrestaurantweek.com/restaurant_profilec55d.html?id=342030,
888 Main Street,Buffalo,NY,,Coco,,,http://localrestaurantweek.com/restaurant_profile3f7f.html?id=1353624,
1104 Elmwood Avenue,Buffalo,NY,,Cole's Restaurant & Bar,,,http://localrestaurantweek.com/restaurant_profilecad3.html?id=319023,
561 Delaware Avenue,Buffalo,NY,,Colter Bay Grill,,,http://localrestaurantweek.com/restaurant_profileb2a7.html?id=319026,
382 Abbott Road,Buffalo,NY,,Conlon's Bar & Grill,,,http://localrestaurantweek.com/restaurant_profile3625.html?id=532067,
5629 Main Street,Williamsville,NY,,Creekview Restaurant,,,http://localrestaurantweek.com/restaurant_profile6fbd.html?id=319047,
647 Ridge Road,Lackawanna,NY,,Curly's Grill & Banquet Center,,,http://localrestaurantweek.com/restaurant_profilef616.html?id=319058,
491 West Avenue,Lockport,NY,,Danny Sheehan's Steakhouse,,,http://localrestaurantweek.com/restaurant_profile7ff9.html?id=319079,
4300 Abbott Road,Orchard Park,NY,,Danny's South,,,http://localrestaurantweek.com/restaurant_profile5cfc.html?id=319080,
4247 North Buffalo Road,Orchard Park,NY,,David's Grille,,,http://localrestaurantweek.com/restaurant_profile80ae.html?id=319091,
326 West Avenue,Lockport,NY,,DeFlippo's Italian Restaurant,,,http://localrestaurantweek.com/restaurant_profile22b7.html?id=319098,
200 Delaware Avenue,Buffalo,NY,,Della Terra,,,http://localrestaurantweek.com/restaurant_profile09d1.html?id=533107,
1270 Baseline Road,Grand Island,NY,,Dick & Jenny's,,,http://localrestaurantweek.com/restaurant_profile55ae.html?id=532043,
7 Charles Street,Lockport,NY,,Donna Eick's,,,http://localrestaurantweek.com/restaurant_profilea6d8.html?id=1527008,
253 Allen Street,Buffalo,NY,,Duke's Bohemian Grove Bar,,,http://localrestaurantweek.com/restaurant_profile65a1.html?id=1176141,
2 Fountain Plaza,Buffalo,NY,,E.B. Green's Steakhouse,,,http://localrestaurantweek.com/restaurant_profilec3be.html?id=383874,
201 Whitehaven Road,Grand Island,NY,,Ellden's Grill & Banquet,,,http://localrestaurantweek.com/restaurant_profile4d17.html?id=1527870,
1435 Hertel Avenue,Buffalo,NY,,Empire Grill,,,http://localrestaurantweek.com/restaurant_profilebb15.html?id=319166,
492 Pearl Street,Buffalo,NY,,Encore,,,http://localrestaurantweek.com/restaurant_profilecb41.html?id=531809,
431 Elmwood Avenue,Buffalo,NY,,Epic Restaurant & Lounge,,,http://localrestaurantweek.com/restaurant_profiled5ed.html?id=1176144,
3047 Sheridan Drive,Amherst,NY,,Falafel Bar,,,http://localrestaurantweek.com/restaurant_profile20aa.html?id=1179898,
8255 Clarence Center Road,East Amherst,NY,,Falletta's Restaurant,,,http://localrestaurantweek.com/restaurant_profilea6c3.html?id=384897,
4346 North Bailey Avenue,Amherst,NY,,Family Tree Restaurant,,,http://localrestaurantweek.com/restaurant_profile6ccb.html?id=319183,
41 Virginia Place,Buffalo,NY,,Fat Bob's Smokehouse,,,http://localrestaurantweek.com/restaurant_profile3882.html?id=384746,
827 19th Street,Niagara Falls,NY,,Fortuna's Restaurant & Banquets,,,http://localrestaurantweek.com/restaurant_profile287a.html?id=383629,
1250 French Road,Depew,NY,,French Pub,,,http://localrestaurantweek.com/restaurant_profile3c58.html?id=663979,
301 Cleveland Drive,Buffalo,NY,,Friar's Table,,,http://localrestaurantweek.com/restaurant_profile7471.html?id=319770,
7800 Transit Road,Williamsville,NY,,Frog Hair Grille and Golf,,,http://localrestaurantweek.com/restaurant_profilefd06.html?id=384409,
4141 McKinley Parkway,Blasdell,NY,,Fuji Grill II Japanese Restaurant,,,http://localrestaurantweek.com/restaurant_profiledb06.html?id=655724,
736 Maple Road,Williamsville,NY,,Fuji Grill Japanese Restaurant,,,http://localrestaurantweek.com/restaurant_profile92c3.html?id=531747,
7310 Niagara Falls Boulevard,Niagara Falls,NY,,Fuji Grill Japanese Restaurant,,,http://localrestaurantweek.com/restaurant_profile95ef.html?id=1481268,
145 Allen Street,Buffalo,NY,,Gabriel's Gate,,,http://localrestaurantweek.com/restaurant_profile37f6.html?id=767235,
35 South Transit Road,Lockport,NY,,Garlock's Restaurant,,,http://localrestaurantweek.com/restaurant_profile71e7.html?id=508279,
8220 Main Street,Williamsville,NY,,Gate House Grill,,,http://localrestaurantweek.com/restaurant_profileb2ac.html?id=346873,
1465 Hertel Avenue,Buffalo,NY,,Gramma Mora's Mexican Restaurant,,,http://localrestaurantweek.com/restaurant_profileb604.html?id=385197,
5700 Seneca Street,West Seneca,NY,,Greyside Grille & Flappy's Pub,,,http://localrestaurantweek.com/restaurant_profile6abe.html?id=319265,
620 Delaware Avenue,Buffalo,NY,,Grille 620,,,http://localrestaurantweek.com/restaurant_profile0a0c.html?id=384550,
8445 Main Street,Williamsville,NY,,Hirsch's Restaurant,,,http://localrestaurantweek.com/restaurant_profile5532.html?id=904235,
3765 Union Road,Cheektowaga,NY,,Holiday Showcase Restaurant,,,http://localrestaurantweek.com/restaurant_profile1048.html?id=1439945,
3785 South Park Avenue,Blasdell,NY,,Ilio DiPaolo's Restaurant,,,http://localrestaurantweek.com/restaurant_profileeb15.html?id=319307,
1116 Elmwood Avenue,Buffalo,NY,,India Gate,,,http://localrestaurantweek.com/restaurant_profile48b0.html?id=824525,
1227 Gilmore Road,Corfu,NY,,Indian Falls Log Cabin Restaurant,,,http://localrestaurantweek.com/restaurant_profilef482.html?id=1353530,
340 Union Street,Hamburg,NY,,J&M's West End Inn,,,http://localrestaurantweek.com/restaurant_profile1212.html?id=665474,
1404 Abbott Road,Lackawanna,NY,,J's White Elephant,,,http://localrestaurantweek.com/restaurant_profile9931.html?id=1457136,
1010 Elmwood Avenue,Buffalo,NY,,J.P. Bullfeathers,,,http://localrestaurantweek.com/restaurant_profile9680.html?id=319317,
4170 Southwestern Boulevard,Hamburg,NY,,Jack Devine's Irish Pub,,,http://localrestaurantweek.com/restaurant_profile348a.html?id=765208,
1264 Hertel Avenue,Buffalo,NY,,Jewel of India,,,http://localrestaurantweek.com/restaurant_profile9c51.html?id=1353505,
5493 Sheridan Drive,Amherst,NY,,jojo Bistro & Wine Bar,,,http://localrestaurantweek.com/restaurant_profile26db.html?id=528022,
2795 Delaware Avenue,Kenmore,NY,,Jovi's Italian Grille & Bistro,,,http://localrestaurantweek.com/restaurant_profilefb09.html?id=382902,
5185 Transit Road,Williamsville,NY,,Kabab & Curry,,,http://localrestaurantweek.com/restaurant_profilec6f9.html?id=319343,
9800 Main Street,Clarence,NY,,Kennedy's Cove,,,http://localrestaurantweek.com/restaurant_profile0ed1.html?id=319345,
2186 George Urban Boulevard,Depew,NY,,Kentucky Greg's Hickory Pit,,,http://localrestaurantweek.com/restaurant_profileba6c.html?id=319346,
3481 Two Rod Road,East Aurora,NY,,Kodiak Jacks,,,http://localrestaurantweek.com/restaurant_profiledb14.html?id=532608,
2909 Genesee Street,Cheektowaga,NY,,La Bella Sicilia Restaurant & Pizzeria,,,http://localrestaurantweek.com/restaurant_profile083a.html?id=533131,
900 Brighton Road,Tonawanda,NY,,La Hacienda Brighton,,,http://localrestaurantweek.com/restaurant_profile50a9.html?id=758432,
9210 Transit Road,East Amherst,NY,,La Scala Ristorante,,,http://localrestaurantweek.com/restaurant_profile1bf4.html?id=319363,
95 Perry Street,Buffalo,NY,,Lagerhaus 95,,,http://localrestaurantweek.com/restaurant_profilecdfc.html?id=1186927,
333 Franklin Street,Buffalo,NY,,Laughlin's,,,http://localrestaurantweek.com/restaurant_profile2fa5.html?id=319377,
330 Campbell Boulevard,Getzville,NY,,Lebro's,,,http://localrestaurantweek.com/restaurant_profile555a.html?id=319381,
140 North Street,Buffalo,NY,,Lenox Grill,,,http://localrestaurantweek.com/restaurant_profilee70e.html?id=1439012,
142 Grey Street,East Aurora,NY,,Leo's Pizzeria & Sports Bar,,,http://localrestaurantweek.com/restaurant_profile6e3b.html?id=1527826,
1 Naval Park Cove,Buffalo,NY,,Liberty Hound,,,http://localrestaurantweek.com/restaurant_profile256e.html?id=1186924,
1198 Hertel Avenue,Buffalo,NY,,Lombardo Ristorante,,,http://localrestaurantweek.com/restaurant_profile4a29.html?id=319614,
62 Allen Street,Buffalo,NY,,Madonna's,,,http://localrestaurantweek.com/restaurant_profile13af.html?id=1426816,
4264 North Buffalo Road,Orchard Park,NY,,Mangia Ristorante & Caffe,,,http://localrestaurantweek.com/restaurant_profilece1e.html?id=319424,
3347 Delaware Avenue,Kenmore,NY,,Manzella's Restaurant,,,http://localrestaurantweek.com/restaurant_profile2f7a.html?id=533110,
1085 Niagara Street,Buffalo,NY,,Marco's Italian Restaurant,,,http://localrestaurantweek.com/restaurant_profile1446.html?id=319430,
4600 Genesee Street,Cheektowaga,NY,,Max's Classic American Grill,,,http://localrestaurantweek.com/restaurant_profile9b1a.html?id=532284,
47 Kenmore Avenue,Amherst,NY,,May Jen Chinese Restaurant,,,http://localrestaurantweek.com/restaurant_profilef6b3.html?id=319449,
439 Delaware Avenue,Buffalo,NY,,Merge,,,http://localrestaurantweek.com/restaurant_profile62f3.html?id=319459,
929 Elmwood Avenue,Buffalo,NY,,Mezza Restaurant & Lounge,,,http://localrestaurantweek.com/restaurant_profilef34d.html?id=668817,
391 Washington Street,Buffalo,NY,,Mike A at Lafayette,,,http://localrestaurantweek.com/restaurant_profileec47.html?id=1187118,
5877 Main Street,Williamsville,NY,,Milos,,,http://localrestaurantweek.com/restaurant_profile8896.html?id=831299,
1500 Cleveland Drive,Cheektowaga,NY,,Mr. Bill's Restaurant & Bar,,,http://localrestaurantweek.com/restaurant_profilef873.html?id=319486,
64 Jackson Avenue,Lackawanna,NY,,Mulberry Italian Ristorante,,,http://localrestaurantweek.com/restaurant_profile05be.html?id=665483,
3061 Sheridan Drive,Amherst,NY,,My Burger Bar,,,http://localrestaurantweek.com/restaurant_profile89a3.html?id=909342,
3085 Sheridan Drive,Amherst,NY,,My Tomato Pie,,,http://localrestaurantweek.com/restaurant_profile18f6.html?id=528034,
451 Elmwood Avenue,Buffalo,NY,,Nektar Martini Bar & Restaurant,,,http://localrestaurantweek.com/restaurant_profile4961.html?id=319503,
7340 Seneca Street,East Aurora,NY,,North Star Tavern,,,http://localrestaurantweek.com/restaurant_profilebc67.html?id=1352900,
8557 North Main Street,Eden,NY,,O'Brien's Pub & Steakhouse,,,http://localrestaurantweek.com/restaurant_profile4c38.html?id=319515,
8500 Sheridan Drive,Williamsville,NY,,Ohlson's Bakery & Cafe,,,http://localrestaurantweek.com/restaurant_profile9c75.html?id=902582,
9415 Main Street,Clarence,NY,,Orazio's Restaurant,,,http://localrestaurantweek.com/restaurant_profile2c24.html?id=753042,
2756 Elmwood Avenue,Kenmore,NY,,Orchid Asian Bistro,,,http://localrestaurantweek.com/restaurant_profile9ca2.html?id=764404,
739 Elmwood Avenue,Buffalo,NY,,Organic 3 Cafe,,,http://localrestaurantweek.com/restaurant_profile3343.html?id=1352729,
4725 Transit Road,Depew,NY,,Page's Grille & Bar,,,http://localrestaurantweek.com/restaurant_profile1077.html?id=319539,
1081 Elmwood Avenue,Buffalo,NY,,Pano's on Elmwood,,,http://localrestaurantweek.com/restaurant_profileb7ca.html?id=1356197,
118 West Chippewa Street,Buffalo,NY,,Papaya,,,http://localrestaurantweek.com/restaurant_profilef4fd.html?id=532654,
5893 Main Street,Williamsville,NY,,Parings Wine Bar,,,http://localrestaurantweek.com/restaurant_profile0d9b.html?id=532506,
3720 Seneca Street,West Seneca,NY,,Pasquale's,,,http://localrestaurantweek.com/restaurant_profile9b02.html?id=826226,
617 Main Street,Buffalo,NY,,Perfetto,,,http://localrestaurantweek.com/restaurant_profile31b0.html?id=1526908,
,Williamsville,NY,,Pizza Plant,,,http://localrestaurantweek.com/restaurant_profile77ba.html?id=319576,
5428 Main Street,Williamsville,NY,,Prosit!,,,http://localrestaurantweek.com/restaurant_profile2093.html?id=532417,
6766 Transit Road,Amherst,NY,,Protocol Restaurant,,,http://localrestaurantweek.com/restaurant_profile6ad6.html?id=319593,
2 Buffalo Avenue,Niagara Falls,NY,,Red Coach Inn,,,http://localrestaurantweek.com/restaurant_profile197e.html?id=1353163,
8326 Main Street,Williamsville,NY,,Red Mill Inn,,,http://localrestaurantweek.com/restaurant_profile6ec2.html?id=533460,
6492 East Main Street,Stafford,NY,,Red Osier Landmark Restaurant,,,http://localrestaurantweek.com/restaurant_profile1e71.html?id=319599,
687 Main Street,East Aurora,NY,,Rick's on Main,,,http://localrestaurantweek.com/restaurant_profilefdc6.html?id=319610,
4218 Walden Avenue,Lancaster,NY,,Ripa's Restaurant,,,http://localrestaurantweek.com/restaurant_profilef2c3.html?id=319612,
971 East River Road,Grand Island,NY,,Riverstone Grill,,,http://localrestaurantweek.com/restaurant_profileb645.html?id=532306,
930 Maple Road,Amherst,NY,,Rizotto Ristorante,,,http://localrestaurantweek.com/restaurant_profile425a.html?id=763652,
550 North French Road,Amherst,NY,,Rizzo's Cafe Banchetti,,,http://localrestaurantweek.com/restaurant_profiled554.html?id=318955,
2763 Eggert Road,Tonawanda,NY,,Rizzo's Casa di Italia Restaurant,,,http://localrestaurantweek.com/restaurant_profile0a4f.html?id=319622,
4914 Lakeshore Road,Hamburg,NY,,Root Five Waterfront Restaurant,,,http://localrestaurantweek.com/restaurant_profilef611.html?id=319631,
512 Niagara Falls Boulevard,Tonawanda,NY,,Saigon Bangkok,,,http://localrestaurantweek.com/restaurant_profilea257.html?id=532657,
8080 Transit Road,Williamsville,NY,,Saigon Bangkok,,,http://localrestaurantweek.com/restaurant_profilede8c.html?id=385032,
8222 Transit Road,Williamsville,NY,,Sake Cafe,,,http://localrestaurantweek.com/restaurant_profile7679.html?id=824596,
3719 Union Road,Cheektowaga,NY,,Sakura Sushi,,,http://localrestaurantweek.com/restaurant_profile2e9f.html?id=753950,
9648 Transit Road,East Amherst,NY,,Samurai,,,http://localrestaurantweek.com/restaurant_profilea007.html?id=668138,
1402 Millersport Highway,Williamsville,NY,,Santora's Pizza Pub & Grill,,,http://localrestaurantweek.com/restaurant_profilebba7.html?id=713493,
28 Old Falls Street,Niagara Falls,NY,,Savor,,,http://localrestaurantweek.com/restaurant_profilee198.html?id=1526914,
149 Elmwood Avenue,Buffalo,NY,,Savoy,,,http://localrestaurantweek.com/restaurant_profile6d3c.html?id=1476824,
26 Virginia Place,Buffalo,NY,,Scarlet,,,http://localrestaurantweek.com/restaurant_profileb0f1.html?id=383614,
34 South Crossman Street,Buffalo,NY,,Scharf's Schiller Park Restaurant,,,http://localrestaurantweek.com/restaurant_profilebcc8.html?id=319659,
789 Center Road,West Seneca,NY,,Schwabl's,,,http://localrestaurantweek.com/restaurant_profilee5b6.html?id=319661,
3999 Maple Road,Amherst,NY,,Scotch N' Sirloin,,,http://localrestaurantweek.com/restaurant_profile6cf7.html?id=319663,
475 Ellicott Street,Buffalo,NY,,Seabar,,,http://localrestaurantweek.com/restaurant_profilecb30.html?id=319665,
3480 Millersport Highway,Getzville,NY,,Sean Patrick's,,,http://localrestaurantweek.com/restaurant_profilebd09.html?id=319667,
2800 Grand Island Boulevard,Grand Island,NY,,Serene Gardens,,,http://localrestaurantweek.com/restaurant_profilec42a.html?id=1353262,
1504 Hertel Avenue,Buffalo,NY,,Shadow Lounge & Restaurant,,,http://localrestaurantweek.com/restaurant_profile1731.html?id=385066,
98 West Avenue,Lockport,NY,,Shamus Restaurant,,,http://localrestaurantweek.com/restaurant_profileb491.html?id=319673,
3260 Main Street,Buffalo,NY,,Shango Bistro and Wine Bar,,,http://localrestaurantweek.com/restaurant_profile6f5c.html?id=319675,
2250 Niagara Falls Boulevard,Tonawanda,NY,,Shannon Pub,,,http://localrestaurantweek.com/restaurant_profile48c8.html?id=527813,
7590 Transit Road,Williamsville,NY,,Shogun Hibachi Steak & Seafood,,,http://localrestaurantweek.com/restaurant_profile6b1e.html?id=765258,
77 Young Street,Tonawanda,NY,,Smoke on the Water,,,http://localrestaurantweek.com/restaurant_profilef336.html?id=1386793,
445 Delaware Avenue,Buffalo,NY,,Snooty Fox Lounge,,,http://localrestaurantweek.com/restaurant_profilea1a4.html?id=319691,
64 W. Chippewa Street,Buffalo,NY,,Soho Burger Bar,,,http://localrestaurantweek.com/restaurant_profileeecb.html?id=829310,
5010 Main Street,Amherst,NY,,Sonoma Grille,,,http://localrestaurantweek.com/restaurant_profilee511.html?id=836598,
1989 Niagara Street,Buffalo,NY,,Sun Restaurant,,,http://localrestaurantweek.com/restaurant_profile4986-2.html?id=768302,
2843 Niagara Falls Boulevard,Niagara Falls,NY,,Suzanne's Dining & Banquets,,,http://localrestaurantweek.com/restaurant_profileef71.html?id=533459,
16 West Main Street,Lockport,NY,,Sweet Sixteen Cafe,,,http://localrestaurantweek.com/restaurant_profile495b.html?id=835936,
4610 Main Street,Snyder,NY,,Tabree,,,http://localrestaurantweek.com/restaurant_profilee28e.html?id=319727,
7740 Transit Road,Williamsville,NY,,Tandoori's Royal Indian Cuisine,,,http://localrestaurantweek.com/restaurant_profiled398.html?id=319729,
3200 Orchard Park Road,Orchard Park,NY,,Tao Sushi & Grill,,,http://localrestaurantweek.com/restaurant_profile9755.html?id=769682,
3093 Sheridan Drive,Amherst,NY,,Taste of India,,,http://localrestaurantweek.com/restaurant_profilebeff.html?id=824536,
5246 Transit Road,Depew,NY,,Thai House Depew,,,http://localrestaurantweek.com/restaurant_profile7561.html?id=835531,
4246 N. Buffalo Road,Orchard Park,NY,,The Byrd House,,,http://localrestaurantweek.com/restaurant_profile108f.html?id=1343671,
4701 Transit Road,Depew,NY,,The Cove Seafood & Banquets,,,http://localrestaurantweek.com/restaurant_profiled0db.html?id=1439003,
3410 Delaware Avenue,Tonawanda,NY,,The Delaware Pub & Grill,,,http://localrestaurantweek.com/restaurant_profile6524.html?id=831050,
3800 Hoover Road,Blasdell,NY,,The Dock at the Bay,,,http://localrestaurantweek.com/restaurant_profile05ec.html?id=319120,
5507 Main Street,Williamsville,NY,,The Glen Park Tavern,,,http://localrestaurantweek.com/restaurant_profileb436.html?id=319772,
2545 Niagara Falls Boulevard,Amherst,NY,,The Grapevine Restaurant & Catering,,,http://localrestaurantweek.com/restaurant_profile0890.html?id=384214,
175 Brompton Road,Tonawanda,NY,,The Grill @ The Dome,,,http://localrestaurantweek.com/restaurant_profile3fd0.html?id=784246,
399 Division Street,North Tonawanda,NY,,The Hideaway Grille,,,http://localrestaurantweek.com/restaurant_profilee8a3.html?id=319287,
10641 Main Street,Clarence,NY,,The Hollow Bistro & Brew,,,http://localrestaurantweek.com/restaurant_profile15f8.html?id=826776,
5601 Main Street,Williamsville,NY,,The Irishman Pub & Eatery,,,http://localrestaurantweek.com/restaurant_profileb4ff.html?id=319780,
1435 Main Street,Buffalo,NY,,The Oakk Room,,,http://localrestaurantweek.com/restaurant_profile3cf2.html?id=822254,
229 Lexington Avenue,Buffalo,NY,,The Place,,,http://localrestaurantweek.com/restaurant_profilefe06.html?id=384142,
40 South Grove Street,East Aurora,NY,,The Roycroft Inn,,,http://localrestaurantweek.com/restaurant_profile202f.html?id=319795,
22 Main Street,Hamburg,NY,,Tina's Italian Kitchen,,,http://localrestaurantweek.com/restaurant_profilebcf2.html?id=319816,
227 Main Street,East Aurora,NY,,Towne Bistro,,,http://localrestaurantweek.com/restaurant_profilee772.html?id=830199,
307 Bryant Street,Buffalo,NY,,Trattoria Aroma @ Bryant,,,http://localrestaurantweek.com/restaurant_profile05f0.html?id=319827,
5229 Main Street,Williamsville,NY,,Trattoria Aroma on Main,,,http://localrestaurantweek.com/restaurant_profilee371.html?id=319828,
4869 Southwestern Boulevard,Hamburg,NY,,Uncle Joe's Diner,,,http://localrestaurantweek.com/restaurant_profile8526.html?id=319837,
366 Tonawanda Street,Buffalo,NY,,Viking Lobster Co.,,,http://localrestaurantweek.com/restaurant_profilebca2.html?id=533426,
772 North Forest Road,Williamsville,NY,,Windows on the Green,,,http://localrestaurantweek.com/restaurant_profile95be.html?id=629725,
5841 Transit Road,East Amherst,NY,,YOLO Restaurant + Lounge,,,http://localrestaurantweek.com/restaurant_profile5ea8.html?id=918833,
92 Webster Street,North Tonawanda,NY,,Yummy Thai,,,http://localrestaurantweek.com/restaurant_profile0968.html?id=760468,
